conversation_id,speaker_id,start_time,end_time,text,outcome
29834_5,0,2.12,5.53,"Good afternoon, this is Amy from EnergyConnect. Am I speaking with Mr. Bradstone?",no sale
29834_5,1,5.66,7.76,"Yes, this is Bradstone. Who did you say you were with?",no sale
29834_5,0,8.02,13.66,"I’m with EnergyConnect, your current energy provider. I’m calling to let you know you qualify for our new home energy discount plan.",no sale
29834_5,0,14.21,18.09,"Because you’ve been a customer for over three years, we want to offer you a 12% rate reduction and a $5 monthly bill credit.",no sale
29834_5,1,18.22,21.14,"I'm not sure, I've actually been pretty satisfied with my current plan. Are there any catches or commitments?",no sale
29834_5,0,21.67,25.82,"No long-term commitment is required. It’s a variable-rate plan, but you will see savings right away and we don’t charge any switching fees.",no sale
29834_5,1,26.12,30.45,"Variable rate, though? I’ve had some bad experiences with those in the past. My bill went up unexpectedly last winter.",no sale
29834_5,0,30.86,35.92,"That’s understandable! We do monitor market rates, and if you prefer, I can send you details by email—you’d be able to lock in a fixed rate in the future if that’s something you’d like.",no sale
29834_5,1,36.26,39.64,"I appreciate that, but for now, I’m not interested in making any changes. My current bills have been manageable.",no sale
29834_5,0,40.02,43.24,"Absolutely, Bradstone. Would it be okay if I email you an overview of the offer so you can look at it on your own time?",no sale
29834_5,1,43.67,46.21,"No thanks, I get a lot of emails as it is. If I’m curious, I’ll call you guys directly.",no sale
29834_5,0,46.65,48.41,"That sounds good! If anything changes, we’re always here.",no sale
29834_5,1,48.95,51.37,"Thank you, Amy. Have a good afternoon.",no sale
29834_5,0,51.89,53.82,Thanks for your time! Take care.,no sale
59321_6,0,1.12,5.41,Good afternoon! Is this Ms. Parker? My name is Alex from Sunlight Energy Solutions.,no sale
59321_6,1,5.8,6.35,"Yes, this is she.",no sale
59321_6,0,6.7,12.89,Hi Ms. Parker! I won’t take up much of your time. I just wanted to let you know that we’re launching a new energy plan with exclusive discounts for customers in your neighborhood.,no sale
59321_6,1,13.35,16.82,"Oh, okay. I’m not really sure if I’m looking to change anything right now. What does it involve?",no sale
59321_6,0,17.17,23.42,"Absolutely understandable! Basically, we’re offering a fixed-rate electricity plan with a 10% discount for the first six months, no long-term contract required. Would you be interested in hearing a quick comparison with your current rate?",no sale
59321_6,1,24.0,26.02,"That’s generous, but I already have a fixed plan through GreenLeaf.",no sale
59321_6,0,26.21,32.47,"Of course, I see. Our plan also offers additional paperless billing credits and free annual usage reviews to help reduce your costs. Out of curiosity, what are you currently paying per kilowatt-hour?",no sale
59321_6,1,33.1,38.57,"Hmm, I think it’s about 13 cents, but honestly, I haven’t checked my bill in a while. I’m not really interested in switching right now, to be honest.",no sale
59321_6,0,39.02,43.15,"That’s totally fine, Ms. Parker. Can I at least send you a summary by email for when you might be shopping around in the future?",no sale
59321_6,1,43.71,45.18,"No, thank you. I get a lot of emails already.",no sale
59321_6,0,45.26,49.82,"Not a problem at all. If you ever reconsider, our website has all the details and live chat support should you have any questions.",no sale
59321_6,1,50.1,51.94,"Alright, thanks for understanding. Have a good afternoon.",no sale
59321_6,0,52.15,55.37,"You too, Ms. Parker, and thank you for your time!",no sale
92837_7,0,1.22,4.07,"Good afternoon, may I speak with Mr. Collins?",no sale
92837_7,1,4.1,4.92,"This is him. Who's calling, please?",no sale
92837_7,0,5.12,9.7,"Hi, Mr. Collins, this is Elena Rivers from BrightHome Energy Solutions. I'm calling to let you know about a new energy plan we’re offering with special discounts for loyal customers like yourself.",no sale
92837_7,1,10.03,12.84,"Thank you for calling, but I'm quite happy with my current plan.",no sale
92837_7,0,13.1,18.91,"Absolutely, no problem. May I quickly share some details? Our new plan features a 10% discount on your electric rate for the first year, plus no long-term contract commitments. Just a minute to explain—would that be alright?",no sale
92837_7,1,19.18,21.1,I'm actually in the middle of something right now. Is this offer very different from what I have?,no sale
92837_7,0,21.35,27.17,"That's understandable. From my review, it looks like you’re paying about $120 on average, and with this plan, you’d likely see savings of around $13 each month. It’s a flexible plan—you could switch or cancel at any time.",no sale
92837_7,1,27.41,29.38,"I appreciate you checking, but my current provider just locked my rates in last month. I’m hesitant to switch.",no sale
92837_7,0,29.82,32.67,"Totally fair! If you want, I could email some information for you to compare side-by-side, no pressure.",no sale
92837_7,1,32.86,35.12,"That's kind, but really, I’m not looking to make any changes for now. Maybe later in the year.",no sale
92837_7,0,35.34,39.33,"Of course, Mr. Collins. If you ever reconsider or want to check out the savings, just give us a call. We’ll be here whenever you’re ready.",no sale
92837_7,1,39.72,41.84,"I appreciate that, Elena. Have a great day.",no sale
92837_7,0,41.97,43.64,"Thank you for your time, Mr. Collins. Take care.",no sale
23851_8,0,1.05,5.36,"Hello, this is Sarah from Bright Energy. May I speak with Mr. Ellis, please?",no sale
23851_8,1,5.97,7.12,This is him speaking. How can I help you?,no sale
23851_8,0,7.37,11.68,"Hi Mr. Ellis! I’m reaching out because, as a valued customer, you now qualify for two exclusive discounts with our new Energy Smart plan.",no sale
23851_8,0,11.84,16.65,"You’ll get a reduced electricity rate plus $5 off your monthly bill, and there’s no long-term contract. Do you have a moment to hear the details?",no sale
23851_8,1,17.01,18.48,"I appreciate the call, but I’m actually happy with my current provider.",no sale
23851_8,0,18.87,22.91,"Of course, I understand! If you don’t mind me asking, are you currently paying more than 16 cents per kilowatt hour?",no sale
23851_8,1,23.37,26.22,"I’m not totally sure, but I locked in a fixed rate about six months ago. I think it’s around that amount.",no sale
23851_8,0,26.61,29.77,"Good to hear you have a fixed rate! Our plan would lower your rate to 13.9 cents, and it’s flexible month-to-month.",no sale
23851_8,1,30.02,34.1,"That does sound competitive, but honestly, I don’t like making changes unless there’s a major difference. I just switched and prefer not to go through that again.",no sale
23851_8,0,34.55,37.87,"I totally respect that, Mr. Ellis. Just to clarify, there’s no paperwork and no service interruption; we handle all the details. May I email you the offer to review at your convenience?",no sale
23851_8,1,38.11,40.33,"I’d rather not, if it’s all the same to you. I get a lot of promotional emails and don’t really look at them.",no sale
23851_8,0,40.86,43.58,"No worries at all. If you ever change your mind or want to compare offers, we’ll be here to help.",no sale
23851_8,1,43.86,44.98,"Alright, thank you for the information.",no sale
23851_8,0,45.34,47.37,Thank you for your time today! Have a great afternoon.,no sale
58241_9,0,1.02,5.1,"Hello, may I speak with Ms. Jenkins please?",no sale
58241_9,1,5.12,6.53,This is she.,no sale
58241_9,0,6.97,12.18,"Hi Ms. Jenkins, my name is Connor from Neptune Energy. I hope you're having a nice day.",no sale
58241_9,1,12.74,13.8,Thank you. What can I do for you?,no sale
58241_9,0,14.15,20.18,"I'm calling because we're offering new energy plans with automatic enrollment in our cost-savings package, featuring a 12% discount on kilowatt rates for the next year.",no sale
58241_9,0,20.76,24.79,Would you be open to hearing a quick summary of how the plan compares to what you currently have?,no sale
58241_9,1,25.63,27.08,"Honestly, I'd rather just keep things as they are.",no sale
58241_9,0,27.51,32.47,"Totally understandable. Just to let you know, there’s no commitment, and switching just takes a few minutes. Would it help if I reviewed your last bill to show you your possible monthly savings?",no sale
58241_9,1,33.08,35.34,No thank you. I’m pretty happy with my current provider.,no sale
58241_9,0,36.06,39.17,"Of course, I understand loyalty goes a long way. Just to clarify, are you concerned about the process or unsure if the savings are real?",no sale
58241_9,1,39.89,41.07,"Mostly, I prefer not to deal with more paperwork or changes.",no sale
58241_9,0,41.31,44.66,"I completely get it. By the way, if you decide later, our special rate is available until the end of next month.",no sale
58241_9,1,45.23,47.32,"Alright, thanks for letting me know. I'm good for now.",no sale
58241_9,0,47.66,50.01,"No problem, Ms. Jenkins. Thank you for your time. Enjoy your day.",no sale
53791_10,0,2.18,7.37,"Hello, may I speak with Ms. Walters, please? This is Brian calling from Sunlight Power.",no sale
53791_10,1,7.9,8.76,"Yes, this is her. How can I help you?",no sale
53791_10,0,9.15,16.81,"Hi, Ms. Walters! The reason for my call is to let you know you're eligible for our newest residential energy plan with special discounts—just for loyal customers in your area.",no sale
53791_10,0,17.11,22.53,"May I ask, are you the person who manages the electricity bill for your household?",no sale
53791_10,1,22.68,24.42,"Yes, that's right. What kind of promotion is this?",no sale
53791_10,0,24.97,32.09,"Great! So, with your current usage, we can reduce your standard rate to only $0.11 per kilowatt-hour, and you would get a $5 monthly credit on your bill for the first year.",no sale
53791_10,0,32.45,36.74,"There are no contracts or penalties—it’s a flexible plan, and you keep your current provider, just at a discounted rate.",no sale
53791_10,1,37.36,40.22,I see. I’m honestly a bit wary of changing plans. Is there a catch?,no sale
53791_10,0,40.66,46.81,"No catch at all—just straightforward savings based on your loyalty. If you decide to enroll, we simply update your rate and send you a confirmation email. That’s it.",no sale
53791_10,1,47.19,52.22,I don’t know. My last energy switch turned into a headache—billing was wrong for months. I’d rather avoid that again.,no sale
53791_10,0,52.8,56.76,Totally understandable. You wouldn't have to change companies or deal with an installation—just improved rates and customer care. May I send you the details in writing?,no sale
53791_10,1,57.05,61.16,"You know what, Brian? I think I’ll stick with my current setup for now. I’m busy, and I honestly don’t want any surprises.",no sale
53791_10,0,61.62,64.47,"Absolutely, Ms. Walters—I appreciate your honesty. If you ever change your mind or want to review options, you can reach us directly.",no sale
53791_10,1,65.06,66.12,"Thank you, I appreciate it.",no sale
53791_10,0,66.8,70.27,You’re welcome! Have a wonderful day and thanks for your time.,no sale
20567_11,0,1.15,4.03,"Good afternoon, is this Mr. Carver? My name is Linda, and I'm calling from Northstream Energy.",no sale
20567_11,1,4.34,4.99,"Yes, speaking. How can I help you?",no sale
20567_11,0,5.45,9.62,"Thanks, Mr. Carver! I’ll be brief—I’m reaching out to share a new fixed-rate energy plan with special discounts for loyal customers like yourself.",no sale
20567_11,1,10.01,11.27,"Alright, but just so you know I’m happy with my current supplier.",no sale
20567_11,0,11.51,17.46,"Absolutely! Many of our clients were content until they realized they could be saving around $18 a month, simply by making a small change. Can I quickly outline how our plan works?",no sale
20567_11,1,18.12,19.54,"You can explain, but I'm not looking to switch right now.",no sale
20567_11,0,19.94,24.51,"Of course! Our Green Choice plan offers a fixed low rate on electricity, a $6 monthly discount added to your bill, and no long-term commitment. If you ever want to change back, there are no penalties.",no sale
20567_11,0,24.89,27.65,We’ve made it simple—just a quick verification and you’d be set. Do you know what you currently pay per kilowatt-hour?,no sale
20567_11,1,28.12,29.44,"I actually don’t track that, but I haven’t had issues with my bills.",no sale
20567_11,0,29.68,33.32,"Understood! With rates trending up nationwide, many people are surprised how quickly costs can change. Our plan locks your rate for twelve months—a peace of mind benefit.",no sale
20567_11,1,34.11,36.55,"I appreciate that, but really I’m not interested in changing anything right now.",no sale
20567_11,0,37.05,40.63,"No problem, Mr. Carver. If you'd like, I can email you the offer details in case you reconsider—would that be alright?",no sale
20567_11,1,41.25,42.43,"No thanks, I'll reach out if I'm ever curious.",no sale
20567_11,0,42.81,45.19,"Of course! Thanks for your time, and have a wonderful afternoon.",no sale
18943_12,0,1.07,5.19,Good afternoon! Is this Mr. Sanders?,no sale
18943_12,1,5.22,5.87,Speaking. Who's this?,no sale
18943_12,0,6.6,11.45,"Hi Mr. Sanders, my name is Julia, and I’m calling from Metro Energy. Do you have a moment to chat about your home energy plan?",no sale
18943_12,1,12.1,14.88,"I only have a minute, but what’s this about?",no sale
18943_12,0,15.31,24.27,"Thank you! I’ll keep it brief. We’re rolling out a new plan that could lower your electricity costs by up to 12%. There’s no long-term commitment, and you can keep your current provider—just at a better rate.",no sale
18943_12,1,25.05,28.19,I just switched plans two months ago. I'm not sure I want the hassle again.,no sale
18943_12,0,28.77,32.11,"I understand completely, and just to reassure you, the switchover is handled automatically—no extra paperwork on your end.",no sale
18943_12,0,32.39,36.45,Can I ask what you’re currently paying per month for electricity? I can check if you’d actually benefit.,no sale
18943_12,1,37.01,41.38,"About $110 last bill, but honestly, I get a loyalty discount already.",no sale
18943_12,0,41.98,45.57,"Got it, and thanks for sharing. Our offer applies a flat rate of $0.099 per kWh, and a $5 monthly bill credit for the first year.",no sale
18943_12,1,46.1,47.99,That sounds decent. But is there a catch?,no sale
18943_12,0,48.15,52.4,"No catch at all—no setup fees, penalties, or required bundles. You can cancel with no penalty whenever you like.",no sale
18943_12,1,53.28,58.13,"I appreciate the info, but I just don’t want to risk losing the loyalty rate I have. I also get free appliance checkups with mine.",no sale
18943_12,0,58.79,63.52,"That’s fair. Our plan includes an annual maintenance visit as well. If it’s about the price, could I send you a custom quote by email?",no sale
18943_12,1,64.32,67.0,"Not at this time, thanks. I’m not ready to change. Maybe in the future.",no sale
18943_12,0,67.45,71.12,"Of course. If things change, our customer service line is open every day. Thanks for picking up, Mr. Sanders!",no sale
10523_13,0,1.67,6.03,"Hello, may I speak with Mrs. Ramirez? This is Jamie from Metro Energy calling about your residential energy service.",no sale
10523_13,1,6.62,8.24,"Hi, this is Mrs. Ramirez. What can I help you with?",no sale
10523_13,0,8.68,17.26,"Thank you for taking my call! The reason I’m reaching out is that we’re launching a new energy plan with exclusive discounts for existing customers, and I wanted to give you the opportunity to start saving right away.",no sale
10523_13,1,17.8,20.1,I see. Can you tell me a bit more about this plan? What's different from what I already have?,no sale
10523_13,0,20.52,27.3,"Great question. The main difference is the rate—on this plan, you'll receive a guaranteed 12% discount on your energy usage for the next 12 months. Plus, there are no long-term contracts, and your current provider and service remain the same.",no sale
10523_13,1,28.0,31.12,Is there any catch? I don’t want to end up with hidden fees or surprises after signing up.,no sale
10523_13,0,31.52,35.74,"Absolutely not, I promise full transparency. The discounted rate applies automatically, and there’s no activation fee—your bill simply goes down.",no sale
10523_13,1,36.39,41.33,"Hm, to be honest, I’m pretty satisfied with my current bill. I also just renewed a plan with a different provider a couple months ago.",no sale
10523_13,0,41.59,46.18,"That makes sense. Out of curiosity, do you remember what kilowatt-hour rate you’re currently paying? Maybe I can check if our plan would be cheaper, just for comparison.",no sale
10523_13,1,46.86,48.6,"Off the top of my head, I think it's around eleven cents. Why?",no sale
10523_13,0,49.19,53.26,"Ours is currently offering ten point four cents per kilowatt-hour, which could mean about $8–$10 savings per month for you. Would you like to see a sample comparison on your last bill?",no sale
10523_13,1,53.65,56.71,"No, that’s okay. Like I mentioned, I’m locked in with my provider, and I also get loyalty rebates by staying with them.",no sale
10523_13,0,57.37,61.2,"Totally understandable. If things change or you want a direct quote in the future, can I email you the current offer so you have it on hand?",no sale
10523_13,1,61.64,65.04,"That’s alright, thank you though. If I decide to switch, I’ll probably just look things up online myself.",no sale
78632_14,0,1.12,6.09,"Hello, is this Mrs. Anderson? Good afternoon, I'm calling from Evergreen Energy Solutions.",no sale
78632_14,1,6.42,7.32,"Yes, this is she. How can I help you?",no sale
78632_14,0,8.0,11.44,"Thank you! I’m Samantha, reaching out because we have a new energy plan designed to lower your electric bill with a special introductory discount.",no sale
78632_14,0,12.02,15.6,"You've been a valued customer for some time, so we wanted to see if you’re interested in hearing about new ways to save on your utility costs.",no sale
78632_14,1,16.31,18.94,"I appreciate that, but I’m actually happy with my current provider and contract. What’s different about your plan?",no sale
78632_14,0,19.13,23.28,Great question—our Evergreen Saver plan offers a flat 15% discount on your supply charges for the first year. There’s no contract lock-in and the rate is fixed for your peace of mind.,no sale
78632_14,1,23.57,26.02,"That does sound decent, but I just switched plans about two months ago. Is there an early termination fee if I move?",no sale
78632_14,0,26.85,30.37,"There are no fees from our end, but you’d want to check with your current supplier if they penalize for switching. We'd handle notifying them if you join us.",no sale
78632_14,1,31.24,35.36,"Honestly, I’d rather not deal with the hassle—especially if there might be penalties. I’m not looking to change providers right now.",no sale
78632_14,0,36.14,39.93,"Completely understandable. If it helps, our plan doesn't require paperwork and the switch is seamless, but of course only if you feel comfortable.",no sale
78632_14,1,40.52,43.35,"I appreciate the information, but I really don’t want to make any changes right now.",no sale
78632_14,0,43.94,46.94,"That’s absolutely fine, Mrs. Anderson. Could I get your permission to send you an email in case you want to review the offer later?",no sale
78632_14,1,47.31,49.32,That’s alright—I’ll reach out if I reconsider. Thanks for the call.,no sale
78632_14,0,50.07,52.8,Thank you for your time. Have a great day!,no sale
27843_15,0,1.07,6.32,"Hello, may I speak with Ms. Thomas? Hi, I'm Julian from Sunrise Energy Solutions—how are you today?",no sale
27843_15,1,6.75,7.6,"Hi, I'm well, thank you. What can I help you with?",no sale
27843_15,0,8.04,13.65,I'm reaching out because we've just launched new energy plans in your area that include a price protection guarantee and monthly discounts. Are you open to hearing about some savings on your bill?,no sale
27843_15,1,14.23,16.27,"I appreciate it, but I've been with my current provider for years and haven't had any issues. Is this a long-term contract?",no sale
27843_15,0,16.68,21.79,"Actually, our plans require no long-term commitment—you can cancel anytime with no penalties. We’re offering a variable-rate discount plan that brings your kilowatt rate well below what most folks are currently paying.",no sale
27843_15,1,22.25,24.47,How much would I actually save? My last bill was $116. Is this a fixed quote?,no sale
27843_15,0,25.0,30.12,"We estimate that you'd save about $12 per month based on your recent usage, and the main rate is $0.12 per kilowatt-hour, with a $5 credit applied for the first six months. After that, your rate still remains among the lowest in the area.",no sale
27843_15,1,30.63,32.53,And do I have to switch utility companies or does this just change my rate?,no sale
27843_15,0,32.87,36.2,Great question—your local utility still delivers and maintains your power. We just supply the electricity at a lower cost.,no sale
27843_15,1,36.76,40.8,"I see. Honestly, I’m used to the way things are and not comfortable changing providers. My brother tried something similar and had trouble later on.",no sale
27843_15,0,41.22,44.49,"I understand your hesitation. We help a lot of customers like you switch without hassle, and you always have support if any questions pop up.",no sale
27843_15,1,45.0,47.68,"I get that, but I’d really prefer to keep things the way they are, at least for now.",no sale
27843_15,0,48.08,51.23,Of course. Would it be ok if I follow up in a few months to see if you’re interested in future promotions?,no sale
27843_15,1,51.67,53.08,"That would be fine. Thanks for the information, Julian.",no sale
27843_15,0,53.41,55.31,"Thank you for your time, Ms. Thomas. Have a nice afternoon!",no sale
95031_16,0,1.05,5.13,"Hello, is this Ms. Jordan Peterson? This is Alexa from Summit Energy Solutions.",no sale
95031_16,1,5.65,6.58,"Hi Alexa, yes, this is Jordan. How can I help you?",no sale
95031_16,0,7.14,12.98,Thanks for taking my call. I'm reaching out because we've launched a new energy plan that could help you cut costs on your monthly bills. It's designed specifically for loyal customers in your area.,no sale
95031_16,1,13.2,15.94,"I appreciate it, but I believe my current rate is already pretty competitive.",no sale
95031_16,0,16.22,21.1,"Absolutely, a lot of folks feel the same way, but with variable rates on the rise, our new plan will lock in your price for twelve months and includes an introductory $10 monthly discount. There are no switching fees and no commitment required.",no sale
95031_16,1,21.58,24.02,"That sounds good on paper, but I recently went through the hassle of switching. I'd prefer to stay put for now.",no sale
95031_16,0,24.58,31.32,"I totally understand—switching can be nerve-wracking! But I want to assure you the process is seamless and we handle all the details with your current supplier. Plus, you could see your new discounted rate within one billing cycle.",no sale
95031_16,1,31.85,35.33,"Thanks, Alexa, but honestly I'm happy with my current provider and just not looking for any changes at the moment.",no sale
95031_16,0,35.95,37.71,No worries at all! May I ask what keeps you with your current plan—just so I can better understand?,no sale
95031_16,1,38.26,41.81,"Mostly habit and a decent discount for auto-billing. Plus, their customer service has always been helpful.",no sale
95031_16,0,42.22,46.18,"That makes a lot of sense. If anything changes or if you’re open to exploring new offers in a few months, may I reach out again?",no sale
95031_16,1,46.69,48.56,"You can, but I don’t expect to switch anytime soon. Thanks for understanding.",no sale
95031_16,0,49.12,51.74,"Absolutely. Thanks for your time, Jordan! Have a great rest of your day.",no sale
78241_17,0,0.0,4.21,"Hello, may I speak with Mr. Garcia, please?",no sale
78241_17,1,4.5,5.32,This is he. Who's calling?,no sale
78241_17,0,5.54,10.77,"Hi Mr. Garcia, this is Linda Ross from BrightOne Energy. I'm reaching out because you're eligible for new energy savings under our GreenSmart plan.",no sale
78241_17,1,11.05,14.04,I see. Is this about switching energy suppliers?,no sale
78241_17,0,14.35,20.48,Great question. You'd stay with your current distributor; what we offer is a lower kilowatt-hour rate and a $60 annual discount if you enroll this week.,no sale
78241_17,1,20.97,23.51,How would this affect my current contract?,no sale
78241_17,0,23.93,29.59,"There’s no impact on your existing contract—you'd keep the same service and provider, but benefit from our cheaper rate. We just need to confirm your address and meter for validation.",no sale
78241_17,1,29.94,31.92,I'm not comfortable making changes over the phone.,no sale
78241_17,0,32.22,36.23,"I completely understand. We can send you everything by email first, and there's never any commitment until you sign.",no sale
78241_17,1,36.6,42.42,Could you actually just send me the details without needing any information from me right now?,no sale
78241_17,0,42.92,46.4,"Of course, to tailor the quote I'll just need your full address or a copy of your latest bill. But it's purely informational.",no sale
78241_17,1,46.91,49.18,I’d really rather not share anything for now.,no sale
78241_17,0,49.35,53.5,That’s totally fine. Would it be alright if I email some general rates to review at your own pace?,no sale
78241_17,1,53.68,56.08,"I’m really not interested, thank you. I prefer not to switch at this time.",no sale
78241_17,0,56.44,59.57,"Understood. If you reconsider, you can find details at brightoneenergy.com. Thanks for your time today.",no sale
30918_18,0,1.0,4.06,"Good afternoon, may I speak with Ms. Gray, please?",no sale
30918_18,1,4.21,5.4,Speaking. Who’s this?,no sale
30918_18,0,5.7,10.2,"Hi Ms. Gray, my name is Lucas from Evergreen Energy. I’m calling to let you know about a new electricity plan you may qualify for, which features guaranteed savings and a loyalty discount.",no sale
30918_18,1,10.55,13.22,"Thanks for letting me know, but honestly I’m not looking to switch right now.",no sale
30918_18,0,13.9,18.4,"I totally understand, Ms. Gray. Just to clarify, there’s no need to switch providers—the new plan simply applies lower rates to your existing service and comes with a $5 monthly credit for the first year.",no sale
